,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,ROA,CurrentRatio,LiabRatio,GrossMargin,AssetTurnover,ROA_prev,GrossMargin_prev,AssetTurnover_prev,LiabRatio_prev,CurrentRatio_prev,SHARES_prev,F_ROA,F_ROA_dt,F_CFO,F_Accrual,F_Liquid,F_Lever,F_Shares,F_Margin,F_Turn,F_Score
175,072710,2022-05-10,72800,1846,133018300,337631112000,4637790,2021-12-31,Y,1328638000000,88495000000,13661000000,21372000000,87786000000,240719999999,149309000000,0,49003000000,22428000000,3268000000,1038914000000,1037315000000,229153000000,641496000000,102781000000,538714000000,55765000000,1643000000,49163000000,49072000000,1991000000,1288000000,5166000000,11967000000,430000000,42392000000,6.867585623334621,3.7002554495656454,0.9519483217055166,0.2317034903745642,0.16022079638844203,0.48282225858360217,5.484467725252635,0.19993831127104486,0.46755459911244146,0.23523852764315664,0.9093525116982812,4637790,1,0,1,0,1,1,1,0,1,6
183,000490,2022-05-10,16050,1267298,20480966100,380837770500,23728210,2021-12-31,Y,1260639000000,363512000000,4022000000,56669000000,241923000000,691724000000,287163000000,0,183011000000,2573000000,64383000000,385905000000,351402000000,688216000000,1179193000000,216387000000,962806000000,38206000000,9808000000,34672000000,33551000000,16072000000,7616000000,6881000000,27792000000,1879000000,-5873000000,10.984015069796955,2.750351210774853,0.9949286131462838,1.7924722405773441,0.18350431184717006,0.9353930823971018,2.2372875578177234,0.1993388787732305,0.9542198682043536,1.514156302638753,0.9383177494890323,23728210,1,1,0,0,1,0,1,0,0,4
191,009190,2022-05-10,4370,547562,2344510200,141390318680,32354764,2021-12-31,Y,157542000000,36103000000,15010000000,13834000000,42937000000,43525000000,18091000000,1916000000,14440000000,0,867000000,99577000000,99577000000,116946000000,203424000000,22192000000,181232000000,15188000000,556000000,15243000000,15243000000,1932000000,1091000000,1412000000,3302000000,43000000,-5352000000,9.27575403004658,9.675515100735042,2.686869615163699,0.43709892846741716,0.10909233915368885,1.2912366226149217,-0.5599662816002478,0.044435745044307626,1.2084863707131615,0.41395876778502233,2.5926539982145136,32354764,1,1,0,0,1,0,1,1,1,6
207,006650,2022-05-10,142500,44281,6175227500,926250000000,6500000,2021-12-31,Y,2478873000000,302996000000,219717000000,241371000000,202132000000,307503000000,244171000000,0,142236000000,2797000000,0,2029134000000,2029134000000,970576000000,2514852000000,227130000000,2287721000000,179414000000,869000000,149936000000,149936000000,9922000000,16738999999,48247000000,156258000000,95000000,309012000000,6.1776357912709425,6.048555129689984,3.156313922140597,0.15154395914710414,0.09031545395116691,1.0145142570837635,5.980729007543888,0.11443098941751167,0.8849300838993208,0.03644489261504023,8.767524735263867,6500000,1,1,1,1,0,0,1,0,1,6
214,003830,2022-05-10,127500,971,120589000,169320000000,1328000,2021-12-31,Y,907820000000,15674000000,0,44338000000,19290000000,27264999999,18357000000,0,138506000000,25151000000,5000000,742049000000,742049000000,80353000000,117347000000,11064000000,106283000000,3157000000,156000000,24376000000,24376000000,471000000,5652000000,5212000000,529000000,0,-3186000000,6.946176567115195,2.6851137890771297,2.9471116817512235,0.036742856602461564,0.09428447254723171,0.1292624088475689,2.2432320927695466,0.10791433141910166,0.12029942988151836,0.02435413293983765,4.089464430619421,1328000,1,1,0,0,0,0,1,0,1,4
231,000640,2022-05-10,102500,6789,693470500,650763582500,6348913,2021-12-31,Y,1691388000000,76059000000,60254999999,99635000000,111820000000,467282000000,110343000000,0,239066000000,60000000,2666000000,985041000000,965159000000,358552000000,881944000000,281484000000,600460000000,61564000000,11981000000,60512000000,60271000000,15653000000,8664000000,5593000000,54724000000,4650000000,131086999999,10.754289768971443,3.57765338290209,0.7673139560265536,0.4743782238505808,0.3191631214680297,0.5214321019186609,10.744580459610379,0.3344563369061784,0.5183726356721501,0.3920452243891242,0.945476723494633,6348913,1,0,1,1,0,0,1,0,1,5
234,282690,2022-05-10,12550,40862,503978650,172349338250,13733015,2021-12-31,Y,420631000000,34348000000,118000000,40163000000,39542000000,42145000000,19065000000,0,7988000000,878999999,0,370498000000,370498000000,117184999999,179555000000,22645000000,156911000000,14388999999,359000000,16538000000,16538000000,1176000000,6850000000,5632000000,2963000000,0,7314000000,10.421413608054179,3.931712118222385,2.7805196345711236,0.11375230095709019,0.12611734566010416,0.42687058252958054,3.3689300520687278,0.16601008619364932,0.3616919683798061,0.07494228184992463,3.351385756892413,13733015,1,1,1,0,0,0,1,0,1,5
239,049770,2022-05-10,166000,3980,653411000,640614584000,3859124,2021-12-31,Y,1935684000000,398607000000,153195000000,75756000000,283050000000,691315000000,314378000000,0,445547999999,6067000000,6844000000,798821000000,798821000000,920693000000,3490623000000,797925000000,2692698000000,130385999999,23800000000,69498000000,69498000000,15151000000,1976000000,26431000000,71311000000,3914000000,159567000000,9.217741287519065,3.590358756904536,1.3317995414536066,0.8654191614892448,0.2285909993717454,1.8033020885640425,4.62791022219066,0.2273397851721263,1.88264927090528,0.6022692433847204,1.5599939537013574,3859124,1,0,1,1,0,0,1,1,0,5
244,004890,2022-05-10,171000,5822,958055000,414711765000,2425215,2021-12-31,Y,473764999999,93531000000,84482000000,42589000000,92380000000,61941000000,47484000000,0,9787000000,1107000000,3926000000,402037000000,402037000000,314196000000,464418999999,63328000000,401091000000,42049000000,372000000,43781000000,43781000000,4737000000,15383000000,13493000000,13409000000,114999999,22580000000,9.472414175098788,9.241079438137561,5.072504480069743,0.15406790917253885,0.13635962352990805,0.9802729201185826,1.9197558808242376,0.05405316202746615,0.7982807226809038,0.11708490299099539,6.657544956997654,2425215,1,1,1,0,0,0,1,1,1,6
245,002690,2022-05-10,4590,1382891,6254348925,93178652400,20300360,2021-12-31,Y,180513000000,32208999999,8000000000,18679000000,46331000000,23588000000,21796000000,0,3376000000,0,195000000,153548000000,153548000000,105242000000,182236000000,14594000000,167642000000,7873000000,281000000,8251000000,8251000000,7000000,173000000,768000000,4102000000,0,-8161000000,11.29301325899891,4.570861932381601,4.461675428183822,0.1536197150076849,0.0800829693364648,1.009545018918305,0.20461735208992396,0.04795261689162253,0.8273069933364744,0.12295448241856452,5.041857259226768,20300360,1,1,0,0,0,0,1,1,1,5
