,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,EBIT,GreenBlatt
1863,303030,2022-05-10,2835,1008038,2750627335,101338968780,35745668,2021-12-31,Y,43369000000,6309000000,15000000000,5366000000,6403000000,10761000000,4805000000,0,2529000000,0,1309000000,30077999999,30077999999,33849000000,38833000000,12469000000,26364000000,1607000000,1026000000,-106000000,-106000000,73000000,505999999,-13000000,290000000,736000000,2338000000,-956.0280073584905,-551999999,-0.01692836110770363
1864,036180,2022-05-10,1760,273014,474949735,84560069440,48045494,2021-12-31,Y,38817000000,5006000000,13905000000,7248999999,5039000000,11575000000,5021000000,0,7654000000,0,0,19587000000,19587000000,31439000000,52574000000,10726000000,41847000000,-1804000000,304000000,-5001000000,-5001000000,7959000000,7856000000,-638000000,440000000,11000000,1219000000,-16.908632161567688,-5536000000,-0.20321562293517362
1865,208350,2022-05-10,5270,16133,84139110,43775471070,8306541,2021-12-31,Y,104496000000,418000000,15527000000,29679000000,10766000000,21033000000,9751000000,0,11302000000,487000000,1113000000,72161000000,39458000000,58763000000,57332000000,22678000000,34654000000,72000000,3384000000,-5659000000,-5726000000,349000000,432000000,-1406000000,1502000000,2351000000,8851000000,-7.7355488725923305,-7148000000,-0.08564273989672071
1866,144510,2022-05-10,57600,88637,5074827500,910099814400,15800344,2021-12-31,Y,645575000000,7611000000,2005000000,18004000000,63148000000,84042000000,27664999999,0,45849000000,505999999,0,515684000000,511003000000,96842000000,168310000000,68698000000,99612000000,36343000000,982000000,30064000000,31422000000,595000000,509999999,9469000000,6459999999,935000000,23908000000,30.272080042575837,39618000001,0.0705532889447281
1867,382480,2022-05-10,3395,314097,1056000895,133617490300,39357140,2021-12-31,Y,63934000000,3551000000,3765999999,3854999999,7362000000,5667000000,1950000000,0,5896000000,0,0,52371000000,52371000000,39389000000,19544000000,10372000000,9171000000,4253000000,428000000,4286999999,4286999999,213000000,38000000,430000000,1982000000,7000000,2770000000,31.16806399140846,4891999999,0.08395832974067655
1868,382800,2022-05-10,14300,51024,718236750,102454037400,7164618,2021-12-31,Y,67902000000,3464000000,0,26967000000,17708000000,7869000000,3594000000,223000000,4085000000,6000000,405000000,55948000000,55948000000,52194000000,52113000000,21868000000,30245000000,10620000000,249000000,10337000000,10337000000,505999999,1653000000,2620000000,498000000,27000000,8669000000,9.911389900357937,11809999999,0.19672513449269569
1869,051160,2022-05-10,16400,142687,2276030650,253780652000,15474430,2021-12-31,Y,228994000000,7526000000,7759999999,118578000000,12751000000,81878000000,32677999999,909000000,40956000000,60000000,5623000000,106159999999,75827000000,148321000000,378604000000,97094000000,281509000000,6661000000,9403000000,8001000000,6822000000,7592000000,1326000000,-5837000000,9497000000,290000000,17667000000,31.718616672915886,8430000000,0.057301721090839884
1870,053050,2022-05-10,6520,3856163,24870425200,195519132440,29987597,2021-12-31,Y,179710000000,210000000,3376000000,7301000000,27785000000,40959000000,31499000000,0,55517999999,202000000,3894000000,83233000000,83233000000,39004000000,128703000000,25817000000,102885999999,4629000000,6741000000,4075000000,4075000000,458000000,581000000,720000000,6720999999,20000000,15746000000,47.9801552,4672000000,0.0336718293922206
1871,119850,2022-05-10,5070,7007498,36308625880,83395968630,16448909,2021-12-31,Y,165390000000,10858000000,22085000000,40087000000,21934000000,49775000000,16479000000,278000000,315000000,0,22000000,115299000000,93907000000,109859999999,146520000000,16676000000,129844000000,5562000000,660000000,3756000000,4406000000,2299000000,3157000000,1571000000,2322000000,246000000,13944000000,22.203399528753994,4469000000,0.038654153872767376
1872,270520,2022-05-10,3200,561443,1806900440,99868505600,31208908,2021-12-31,Y,36255000000,0,300000000,18550000000,6230000000,6791000000,5167000000,81000000,139000000,0,0,29325000000,29325000000,30802000000,25135000000,2574000000,22561000000,-1120000000,110000000,-930000000,-930000000,11000000,151000000,-183000000,112999999,4000000,4234000000,-107.38548989247312,-1253000000,-0.04252647298398045
1873,065060,2022-05-10,738,275632,199558412,72329936472,98008044,2021-12-31,Y,229232000000,34540000000,26074000000,9199000000,12888000000,90094000000,24646000000,0,5221000000,1371000000,0,133917000000,53479999999,86714000000,135408999999,69007000000,66403000000,-798000000,4923000000,-20021000000,-18575000000,3611000000,191000000,3403000000,4667000000,256000000,20809000000,-3.612703484940812,-13198000000,-0.09485546723396915
