,STKCODE,PER,PBR,PSR,PCR
577,029460,3.6201315977782227,0.3896670612996226,0.4844384763346051,3.7227761978486122
1272,037350,3.6834922141224173,0.3257289330342839,0.14062686808061484,3.170034895061624
491,000700,3.701158344924154,0.38877809011818176,0.29165810312835044,4.041760368104227
470,001800,3.7756726965895493,0.22409420156358714,0.35523231647351783,3.245096138986717
654,000970,3.814374420291077,0.6619226638337972,0.4307388306997348,3.17482608582507
10,000590,3.8390641840581843,0.24528784613277355,0.46558448655315854,4.023615289374398
1705,900340,3.9150641501561134,0.4746054788575076,0.484605345342214,3.0235763592495255
302,003650,3.9779548263222204,0.44766301150110166,0.3271163179916318,3.623260266567742
1220,023600,3.9813363405694955,0.4200458065219762,0.38456594792137555,3.1272440061876585
2176,034810,3.9931393461164517,0.25196425849737614,0.1502257707353515,2.52826354119947
141,002240,4.01883830455259,0.34853353096194784,0.3257900325292052,2.5246981339187706
604,003240,4.026303037337415,0.28164006157189864,0.40206694742225585,3.2219633180370884
640,000140,4.071630822505112,0.2846733606954276,0.13776833336687166,1.544037331539085
522,003200,4.233960258643598,0.3567900835247078,0.4551355091392099,3.071157038068212
970,007680,4.307006406149904,0.38437935756082364,0.4197065341565276,3.8906495761118025
67,006260,4.386624211250685,0.39428689924075117,0.13534874715606263,2.773381157030644
668,060980,4.388073805904889,0.4117135626881881,0.3778117949659054,3.1921239700402895
972,005710,4.394669451697128,0.3418293085800627,0.1711064724954186,2.5584580774609353
322,007160,4.414174699191425,0.43338350547568383,0.4227277329643255,3.6656569648018738
1933,064820,4.424112604738079,0.5912479175058406,0.3207093293830009,4.060056094817579
320,003960,4.47631607048331,0.5202520929743661,0.15005483129869382,2.803419864479315
432,002310,4.513178159650441,0.5242508538448944,0.39290656235076854,2.852050413443981
348,002450,4.522534939197653,0.5509493263790665,0.45703343046682743,2.986462603716209
598,005740,4.5373260420276615,0.2794200982883928,0.15437736991175338,2.0856941376663625
1417,031310,4.549014228500692,0.3771597674432645,0.4106111513510316,4.813283950997765
1282,011560,4.595073137890936,0.4598732083792723,0.13803958124193316,4.010625000214243
686,004960,4.6640837084673095,0.2952798226903276,0.15104078542690969,3.202975304121959
132,012320,4.819532639354378,0.19279429344591786,0.2979507416646929,2.7301744284538136
246,006040,4.882194925374792,0.5650932411737553,0.2998782000543151,2.8533462719704112
2150,054040,5.057284868718772,0.6503594049152366,0.31074551022828606,3.5039149712588067
253,000150,5.210107671024288,0.1429852476991621,0.1024448472463002,2.701439212146021
694,003300,5.288797847350434,0.20923824103664188,0.2205681432525482,2.9381312587290505
49,025000,5.3204734026871074,0.4339010529461368,0.23826984450329328,3.740328956189621
