,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Liab_Total,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,REV,GROSS,OPR,SGA_2,NETINC,NETINC_1,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,EPS,EPS_prev,EPS Growth,PEG
26,001250,2022-05-10,4075,7968496,32972935790,336325088300,82533764,2021-12-31,Y,1442682000000,4269000000,61976000000,926643000000,926643000000,274214000000,2828000000,173525000000,1188000000,1845000000,342514000000,331082000000,3849041000000,135047000000,38847000000,7493000000,22028000000,23322000000,22260000000,293000000,266.89683024755783,-995.2169393364878,126.81795493005758,0.12039361406292798
27,007070,2022-05-10,25900,386296,9943328300,2712194179800,104717922,2021-12-31,Y,9455973000000,334510000000,91362000000,2055199000000,2055199000000,1063185000000,0,2986388000000,234946000000,11508000000,4414386000000,4069022000000,9765695000000,2226264000000,208469000000,544860999999,801276000000,815212000000,638361000000,43538000000,7651.756114870193,1475.6022374087981,418.5514036836178,0.008087044671077296
28,012630,2022-05-10,7170,133851,949615700,428348139570,59741721,2021-12-31,Y,10651492000000,1587156000000,668772000000,3920443000000,3920443000000,921195999999,0,1926241999999,162514000000,7227000000,4804807000000,2387630000000,4779586000000,818977000000,368697000000,75771000000,230227000000,113407000000,83701000000,53929999999,3853.7055201339113,3202.8370926910525,20.321621381498154,0.09155504384520265
29,039570,2022-05-10,9710,2437,23670820,252048305710,25957601,2021-12-31,Y,411392000000,93241000000,102356000000,131703000000,131703000000,107583000000,0,13882000000,66000000,0,265807000000,265807000000,274580000000,26552000000,9667000000,609000000,9091000000,9091000000,1036000000,364000000,350.22496878659933,603.638217568719,-41.98098155593847,-0.6604189647351003
30,089470,2022-05-10,4610,62979,289376015,147059000000,31900000,2021-12-31,Y,582888000000,3484000000,50704000000,188573000000,188573000000,115880000000,0,86662000000,7048999999,2110000000,307654000000,299954000000,859757000000,84391000000,28370999999,1880999999,10285000000,10285000000,9663000000,0,322.41379310344826,432.41379310344826,-25.438596491228072,-0.5620748663101603
31,294870,2022-05-10,14250,562067,7901226900,939179452500,65907330,2021-12-31,Y,6566378000000,1883232000000,350812000000,2846967000000,2846967000000,1241771000000,0,834129999999,13316000000,5680000000,2885281000000,2877435000000,3363906000000,496296000000,273435000000,1387000000,176281000000,176535000000,36522000000,1955000000,2674.679735926186,3341.13064510427,-19.946867691469322,-0.2670966063091856
32,011200,2022-05-10,28650,3250120,93234561100,14010981560400,489039496,2021-12-31,Y,17876100000000,4758704000000,1724952000000,2524663000000,2524663000000,701597000000,0,4993143000000,12142000000,10699000000,10358294000000,10357269000000,13794148000000,7757727000000,7377522000000,38187000000,5337151000000,5337056000000,654355000000,0,10913.537748288534,253.48872844413367,4205.334527209073,0.0006242499589505391
33,082740,2022-05-10,10150,474474,4734369250,474220646900,46721246,2021-12-31,Y,795625000000,29933000000,54072000000,431104000000,431104000000,124029000000,0,155420000000,9705000000,9270000000,209101000000,209101000000,598999000000,-10140000000,-39778000000,2092000000,-39738000000,-39738000000,16268000000,1423000000,-850.533823520032,129.4486024623573,-757.0436507936507,0.015763531965035375
34,003560,2022-05-10,1060,822470,856418960,160461322360,151378606,2021-12-31,Y,238567999999,17640000000,9900000000,118457000000,118457000000,2725000000,0,1932999999,0,0,118179000000,114910999999,60007000000,60007000000,-11640000000,25589000000,-10100000000,-10146000000,2650000000,22939000000,-66.7201282062275,-120.54543559477618,44.65146865409908,-0.3558059817175909
35,234080,2022-05-10,14000,38182,532799650,221683756000,15834554,2021-12-31,Y,219467000000,4955000000,4923000000,83902000000,83902000000,23014000000,0,4072000000,88000000,0,131492000000,131492000000,169817000000,49157000000,28417000000,1300000000,12913999999,12913999999,12509000000,736000000,815.5581773253607,1092.5473492969868,-25.35260116184971,-0.677096493584832
36,001060,2022-05-10,26400,191953,5005580700,585501338400,22178081,2021-12-31,Y,633053000000,62400000000,33366000000,282678000000,282678000000,90476000000,0,161836000000,1230000000,24537000000,188540000000,201195000000,606585000000,234376000000,31200000000,0,-1441000000,-968000000,14483000000,1629000000,-64.97406155203419,-688.7430882771147,90.56628477905073,-4.486393460629691
37,096760,2022-05-10,4095,29746,120808875,288471071070,70444706,2021-12-31,Y,1065779000000,66113000000,46938000000,495071000000,495071000000,106745000000,0,265885000000,7351000000,26938000000,304823000000,93243000000,788937000000,344179000000,68729000000,10604000000,4435000000,-2778000000,32981000000,5402000000,62.95717949337456,48.05187205976841,31.019202363367803,2.0969014346313415
38,002380,2022-05-10,345000,66258,22906234000,3065832495000,8886471,2021-12-31,Y,12878863000000,620461000000,541201000000,2699972000000,2699972000000,1248915000000,0,4802825000000,89204000000,429025000000,5376067000000,5035301000000,5874899000000,1326564000000,388770000000,77171000000,-53211000000,-45780000000,370936000000,37517000000,-5987.866274474985,63115.380672485175,-109.48717445838898,0.5262398765199694
39,344820,2022-05-10,58200,53437,3068175400,929483798400,15970512,2021-12-31,Y,1877934999999,39132000000,64979999999,385816000000,385816000000,203504000000,0,103705000000,3061000000,0,1388414000000,1388414000000,1175660000000,296547000000,160451000000,7301000000,117225000000,117225000000,91455000000,3494000000,7340.090286397831,8287.148214158695,-11.428031734038543,-0.6938253205557013
40,009070,2022-05-10,5670,221008,1237410130,170100000000,30000000,2021-12-31,Y,532345000000,537000000,31522000000,135400000000,135400000000,58478000000,0,167856000000,0,363000000,229089000000,222223999999,694738000000,83293000000,29604000000,2511000000,21325000000,20357000000,23732000000,219000000,710.8333333333334,459.9333333,54.5513842697892,0.14622091534286394
