,STKCODE,CLOSE_PRICE,RIM
2169,084990,20800,-13515.232402935513
191,128820,4990,-13473.71636041958
1288,299660,21650,-13432.064643262613
1190,083650,5190,-13298.07692307692
1176,288330,11350,-13267.411963037248
2024,321550,16100,-13227.704584135301
2134,101680,1440,-12950.975725844834
1558,182400,19900,-12816.363228607293
1559,348370,80000,-12796.094979141517
1353,099320,48750,-12725.621964498354
1598,122640,8380,-12556.727787988859
670,003680,8340,-12091.121448293467
549,063160,33250,-11988.781548249877
1575,170920,10050,-11892.465773154301
1155,308080,20550,-11695.217209668914
1024,376300,37000,-11481.007150785501
1248,018680,6000,-11366.031858908704
1981,045520,13400,-11158.461538461537
1260,171090,18200,-11099.552020038076
620,010770,3730,-10996.572690401796
1968,317690,6370,-10993.111343603241
1339,226330,12450,-10952.597000366097
1553,365590,2125,-10867.391304347826
1628,321820,11400,-10813.108092576416
1387,067390,6560,-10674.894068839045
1805,174880,1700,-10455.301819814515
812,078590,2380,-10445.027993918295
1088,305090,13400,-10362.863236832454
1471,095910,3635,-10357.448487675898
1989,065130,6770,-10317.810986640989
1886,094850,12700,-10288.571428571428
2175,041440,9000,-10244.506234223549
881,308100,9260,-10203.58664180575
1736,258610,4365,-10122.472982732192
925,142280,6230,-10040.117376842463
1436,347860,19100,-9941.262756126036
1759,294090,20700,-9885.916194812162
2119,221840,6220,-9752.394402697486
1184,148140,640,-9671.902167220294
152,008870,68200,-9640.0
1061,141080,34750,-9624.635511831375
1522,089530,1930,-9594.677868136047
1048,315640,10550,-9543.266220049567
1622,244460,7640,-9437.331892245682
118,084870,2115,-9406.995381222801
1732,246960,9960,-9380.966282430694
722,267260,24650,-9345.264193673089
835,038340,1335,-9309.478926684866
1900,071850,2380,-9249.698898944232
1510,028300,28900,-9204.102907207707
1116,257370,9210,-9171.44308243323
1500,298380,20550,-9147.76276737486
855,348150,15750,-9147.50237563289
1179,044480,2215,-9117.306864606431
1942,036690,4210,-9075.822558947153
1295,053110,3960,-8872.13686960095
1158,267790,11100,-8864.37131443789
2192,115160,4455,-8815.606625452827
1612,039200,24850,-8694.479090196572
276,002270,324000,-8659.655681503324
1963,052330,10900,-8631.387920500056
33,082740,10150,-8505.33823520032
537,271980,24500,-8482.222762632682
523,020760,2035,-8476.961515957459
1433,096610,4050,-8468.89354569474
1005,094170,5680,-8460.244587599627
739,013520,1760,-8449.139294257815
1898,042000,16900,-8341.038737357427
2076,334970,7000,-8321.615454257224
1860,389030,9970,-8297.671012386705
2194,032860,3640,-8245.259477016722
1923,256940,7780,-8169.6513953158665
1104,235980,27250,-8114.806607586049
1961,121850,3665,-8042.529948071452
2087,300080,37800,-7984.424336801297
1851,033340,1055,-7971.632090134082
528,226320,21600,-7951.4567600492755
1405,101390,7270,-7894.149049728077
807,160550,8430,-7889.312826375704
278,027740,1915,-7862.074403599943
2173,052260,16200,-7790.666666666667
2014,117730,7540,-7749.693665700595
1704,206650,15950,-7565.961317890913
1450,092600,4040,-7534.556723098799
1712,049520,2190,-7513.907775538106
1040,106520,3750,-7454.6246443782375
1814,072520,2070,-7363.062712853844
1957,950160,8010,-7296.667208358588
2058,087010,9160,-7292.4357385006815
1222,000250,38100,-7271.156969543405
1504,088800,10750,-7243.355222365837
1571,156100,13200,-7219.5815300868535
472,017370,2985,-7092.367423946658
1489,052020,5720,-7041.492772919903
611,004870,759,-7025.438712654697
1788,175140,6900,-7022.204529914704
1451,129890,13500,-7016.707602232946
1884,261780,7130,-6969.573988006127
2002,091440,4090,-6905.063549797703
1865,208350,5270,-6893.362712589994
2118,106080,5990,-6799.774042113874
1555,354200,10600,-6782.285965824551
2042,049120,2165,-6685.683548594316
1452,174900,13500,-6683.6100555494295
1977,114120,1085,-6678.016144979453
973,010170,2345,-6660.281760810126
1464,097780,3385,-6638.326539285995
1378,357580,17100,-6620.490789526785
1586,259630,17050,-6610.308166310177
921,104620,11500,-6539.993623650608
1539,173940,8820,-6467.857719660727
1499,096690,509,-6445.905807788832
1286,331920,8840,-6415.856253463313
1478,214310,4200,-6398.797574089487
1027,196490,4550,-6314.833222414955
1148,142760,6140,-6285.813004631016
849,223310,3320,-6271.4187851267325
1819,123330,5990,-6187.142857142858
1055,347700,7390,-6141.443926097134
331,001360,3710,-5996.836399302052
1891,066360,1395,-5969.167996034521
718,322000,22900,-5942.857142857143
1358,352480,20900,-5901.772339181946
1530,128540,6420,-5879.605461301755
